name,place_id,formatted_address,latitude,longitude,rating,user_ratings_total,website,phone_number,search_query,search_location,category,planning_area,weighted_average_income,total_households,has_website,has_phone,has_rating,search_coverage
Village Hotel Changi,ChIJDyOtkBc82jERkMqi4Nb1gpo,"1 Netheravon Rd, Singapore 508502",1.3904644,103.9860557,4.1,3192,https://www.villagehotels.asia/en/hotels/village-hotel-changi?utm_source=googleplaces_vhc&utm_medium=organic,6379 7111,fitness_center,"Changi Village, Singapore",Fitness Studio,CHANGI,0.0,0.0,True,True,True,Local
Civil Service Club @ Changi,ChIJ84xKhBc82jERLY4gV_u2jGo,"2 Netheravon Rd, Singapore 508503",1.3914147,103.9862467,4.3,2237,http://www.cscchangi.sg/,6709 4709,fitness_center,"Changi Village, Singapore",Fitness Studio,CHANGI,0.0,0.0,True,True,True,Local
Ketam Mountain Bike Park,ChIJVWsZeW8-2jER_oDJU6R9d10,"Pulau Ubin, Singapore 508357",1.4114816,103.9477547,4.5,332,https://www.nparks.gov.sg/activities/fitness-sport-and-wellness/mountain-biking,1800 471 7300,fitness_center,"Pulau Ubin, Singapore",Fitness Studio,PASIR RIS,11846.999197728956,40510.0,True,True,True,Local
RAGTAG Training,ChIJSa19EbsZ2jERI969MHZ3FLI,"141 Cecil St, #01-01 Tung Ann Association Building, Singapore 069541",1.2792636,103.8483789,5.0,10,http://ragtagtraining.com/,,fitness_center,"Pulau Tekong, Singapore",Fitness Studio,OUTRAM,9371.743688254664,5466.0,True,False,True,Local
The Training Camp,ChIJ72ewJPsZ2jERkPb-tRdMkJU,"520 N Bridge Rd, #06-01, Singapore 188742",1.2986621,103.8560567,5.0,110,https://www.instagram.com/thetrainingcampsg/,8588 2467,fitness_center,"Pulau Tekong, Singapore",Fitness Studio,ROCHOR,0.0,0.0,True,True,True,Local
Care Corner Gym Tonic (TP62B),ChIJC5RuDwoX2jERZS9UVdNIgg8,"62B Lor 4 Toa Payoh, #02-121, Singapore 312062",1.3357934,103.8512268,4.4,8,https://www.carecorner.org.sg/services/gym-tonic-wellness/,9383 6544,fitness_center,"Pulau Tekong, Singapore",Fitness Studio,TOA PAYOH,10071.888371896875,35569.0,True,True,True,Local
Care Corner Gym Tonic (TP131),ChIJOwskomwX2jEReOdI7bp84IU,"Blk 131 Lor 1 Toa Payoh, #01-01, Singapore 310131",1.3380376,103.8432733,5.0,4,https://www.carecorner.org.sg/services/gym-tonic-wellness/,9048 6251,fitness_center,"Pulau Tekong, Singapore",Fitness Studio,NOVENA,12399.320787338742,15038.0,True,True,True,Local
Singapore Island Country Club (Bukit Location),ChIJNecNarcQ2jERdw5GN_6OhK4,"240 Sime Rd, Singapore 288303",1.3413867,103.8105068,4.3,901,https://www.sicc.org.sg/,6466 2244,fitness_center,"Pulau Biola, Singapore",Fitness Studio,CENTRAL WATER CATCHMENT,0.0,0.0,True,True,True,Local
Functional Rehabilitation,ChIJ_0knUlUZ2jERsAWKlpIXTH4,"01 Larkhill Rd, #02-39, Singapore 099394",1.252073,103.822236,0.0,0,,9780 2235,fitness_center,"Pulau Biola, Singapore",Fitness Studio,SOUTHERN ISLANDS,0.0,0.0,False,True,False,Local
SPACECUBOID Gym Studio (City Sprouts Bedok),ChIJ47rJBsoZ2jERm9vxXG4h30Q,"200 Bedok North Ave 1, #2-02 City Sprouts, Singapore 469752",1.3274582,103.9271292,5.0,167,https://www.spacecuboid.com/,8083 5751,fitness_center,"Pulau Sebarok, Singapore",Fitness Studio,BEDOK,10710.615373350993,78532.0,True,True,True,Local
Bespoke Fitness,ChIJIVvGpEsa2jERoamhLRB2jDk,"56 Farrer Rd, Bespoke Fitness, MRT, Singapore 268844",1.3142644,103.805215,4.6,20,http://www.bespokefitness.fit/,8690 4858,fitness_center,"Pulau Sakijang Bendera, Singapore",Fitness Studio,BUKIT TIMAH,15710.218884329815,20472.0,True,True,True,Local
One Wellness Fitness Club,ChIJA10OW1EBBBARnwHv6RSadVk,"247A / 247B Victoria Street, Bugis, Singapore 188033",1.300463,103.855304,4.4,19,http://www.onewellness.com.sg/,6221 9663,fitness_center,"Pulau Sakijang Bendera, Singapore",Fitness Studio,ROCHOR,0.0,0.0,True,True,True,Local
