planning_area,total_households,weighted_average_income,income_distribution
Queenstown,28504,10724.055500982318,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 5460, 'sgd_1000_to_1999': 2408, 'sgd_2000_to_2999': 1708, 'sgd_3000_to_3999': 1924, 'sgd_4000_to_4999': 1682, 'sgd_5000_to_5999': 1515, 'sgd_6000_to_6999': 1355, 'sgd_7000_to_7999': 1304, 'sgd_8000_to_8999': 1277, 'sgd_9000_to_9999': 1264, 'sgd_10000_to_10999': 1143, 'sgd_11000_to_11999': 916, 'sgd_12000_to_12999': 1174, 'sgd_13000_to_13999': 933, 'sgd_14000_to_14999': 787, 'sgd_15000_to_17499': 2083, 'sgd_17500_to_19999': 1571}"
Bedok,78532,10710.615373350991,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 17125, 'sgd_1000_to_1999': 5278, 'sgd_2000_to_2999': 5245, 'sgd_3000_to_3999': 5521, 'sgd_4000_to_4999': 4641, 'sgd_5000_to_5999': 5102, 'sgd_6000_to_6999': 3868, 'sgd_7000_to_7999': 4229, 'sgd_8000_to_8999': 3455, 'sgd_9000_to_9999': 3641, 'sgd_10000_to_10999': 3291, 'sgd_11000_to_11999': 2685, 'sgd_12000_to_12999': 2620, 'sgd_13000_to_13999': 2564, 'sgd_14000_to_14999': 1838, 'sgd_15000_to_17499': 4080, 'sgd_17500_to_19999': 3349}"
Sengkang,72478,10549.841220784238,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 8762, 'sgd_1000_to_1999': 3166, 'sgd_2000_to_2999': 3556, 'sgd_3000_to_3999': 4024, 'sgd_4000_to_4999': 4310, 'sgd_5000_to_5999': 4318, 'sgd_6000_to_6999': 4693, 'sgd_7000_to_7999': 4431, 'sgd_8000_to_8999': 4164, 'sgd_9000_to_9999': 4359, 'sgd_10000_to_10999': 3915, 'sgd_11000_to_11999': 3803, 'sgd_12000_to_12999': 3016, 'sgd_13000_to_13999': 3177, 'sgd_14000_to_14999': 2811, 'sgd_15000_to_17499': 6068, 'sgd_17500_to_19999': 3905}"
Choa Chu Kang,52657,10535.758835482462,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 6563, 'sgd_1000_to_1999': 2054, 'sgd_2000_to_2999': 2776, 'sgd_3000_to_3999': 2884, 'sgd_4000_to_4999': 3058, 'sgd_5000_to_5999': 3335, 'sgd_6000_to_6999': 3337, 'sgd_7000_to_7999': 3499, 'sgd_8000_to_8999': 3311, 'sgd_9000_to_9999': 3082, 'sgd_10000_to_10999': 2833, 'sgd_11000_to_11999': 2619, 'sgd_12000_to_12999': 2115, 'sgd_13000_to_13999': 2074, 'sgd_14000_to_14999': 2167, 'sgd_15000_to_17499': 4026, 'sgd_17500_to_19999': 2924}"
Punggol,51758,10475.132530236871,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 6077, 'sgd_1000_to_1999': 2397, 'sgd_2000_to_2999': 2418, 'sgd_3000_to_3999': 3108, 'sgd_4000_to_4999': 3060, 'sgd_5000_to_5999': 2987, 'sgd_6000_to_6999': 2975, 'sgd_7000_to_7999': 3280, 'sgd_8000_to_8999': 3317, 'sgd_9000_to_9999': 3127, 'sgd_10000_to_10999': 2952, 'sgd_11000_to_11999': 2623, 'sgd_12000_to_12999': 2474, 'sgd_13000_to_13999': 2252, 'sgd_14000_to_14999': 1764, 'sgd_15000_to_17499': 4089, 'sgd_17500_to_19999': 2858}"
Tampines,72662,10327.216990999423,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 9644, 'sgd_1000_to_1999': 4043, 'sgd_2000_to_2999': 3892, 'sgd_3000_to_3999': 4610, 'sgd_4000_to_4999': 4472, 'sgd_5000_to_5999': 4592, 'sgd_6000_to_6999': 4362, 'sgd_7000_to_7999': 4646, 'sgd_8000_to_8999': 3802, 'sgd_9000_to_9999': 4038, 'sgd_10000_to_10999': 3947, 'sgd_11000_to_11999': 3380, 'sgd_12000_to_12999': 2975, 'sgd_13000_to_13999': 2903, 'sgd_14000_to_14999': 2311, 'sgd_15000_to_17499': 5373, 'sgd_17500_to_19999': 3672}"
Bukit Panjang,38525,10223.16462037638,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 5359, 'sgd_1000_to_1999': 1665, 'sgd_2000_to_2999': 2411, 'sgd_3000_to_3999': 2561, 'sgd_4000_to_4999': 2495, 'sgd_5000_to_5999': 2635, 'sgd_6000_to_6999': 2552, 'sgd_7000_to_7999': 2450, 'sgd_8000_to_8999': 2544, 'sgd_9000_to_9999': 2011, 'sgd_10000_to_10999': 1746, 'sgd_11000_to_11999': 1656, 'sgd_12000_to_12999': 1710, 'sgd_13000_to_13999': 1110, 'sgd_14000_to_14999': 1146, 'sgd_15000_to_17499': 2583, 'sgd_17500_to_19999': 1891}"
Hougang,65133,10153.063186096142,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 9562, 'sgd_1000_to_1999': 4008, 'sgd_2000_to_2999': 4473, 'sgd_3000_to_3999': 4275, 'sgd_4000_to_4999': 4054, 'sgd_5000_to_5999': 4157, 'sgd_6000_to_6999': 3956, 'sgd_7000_to_7999': 3450, 'sgd_8000_to_8999': 4098, 'sgd_9000_to_9999': 3518, 'sgd_10000_to_10999': 3067, 'sgd_11000_to_11999': 2344, 'sgd_12000_to_12999': 2534, 'sgd_13000_to_13999': 2497, 'sgd_14000_to_14999': 2119, 'sgd_15000_to_17499': 3973, 'sgd_17500_to_19999': 3048}"
Bukit Merah,45358,10092.468693505005,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 7748, 'sgd_1000_to_1999': 4583, 'sgd_2000_to_2999': 3478, 'sgd_3000_to_3999': 3465, 'sgd_4000_to_4999': 2339, 'sgd_5000_to_5999': 2557, 'sgd_6000_to_6999': 2173, 'sgd_7000_to_7999': 2255, 'sgd_8000_to_8999': 1826, 'sgd_9000_to_9999': 1787, 'sgd_10000_to_10999': 2012, 'sgd_11000_to_11999': 1748, 'sgd_12000_to_12999': 1536, 'sgd_13000_to_13999': 1337, 'sgd_14000_to_14999': 1360, 'sgd_15000_to_17499': 3129, 'sgd_17500_to_19999': 2025}"
Kallang,31046,10084.228177543,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 5442, 'sgd_1000_to_1999': 3127, 'sgd_2000_to_2999': 2379, 'sgd_3000_to_3999': 2051, 'sgd_4000_to_4999': 1925, 'sgd_5000_to_5999': 1769, 'sgd_6000_to_6999': 1554, 'sgd_7000_to_7999': 1436, 'sgd_8000_to_8999': 1325, 'sgd_9000_to_9999': 1357, 'sgd_10000_to_10999': 1394, 'sgd_11000_to_11999': 1112, 'sgd_12000_to_12999': 1205, 'sgd_13000_to_13999': 917, 'sgd_14000_to_14999': 768, 'sgd_15000_to_17499': 1833, 'sgd_17500_to_19999': 1452}"
